#  NACA 0008                                       
#  alpha =   1.0000
#  Mach  =   0.0000
#  Reyn  = 20000000
#  Ncrit =   7.0000
#
#    x           cf
   0.111779E-03  0.774687E-03
   0.120728E-04  0.187897E-02
   0.120728E-04  0.283410E-02
   0.111779E-03  0.376293E-02
   0.321883E-03  0.433600E-02
   0.646155E-03  0.472227E-02
   0.108641E-02  0.474276E-02
   0.164397E-02  0.462235E-02
   0.231948E-02  0.434170E-02
   0.311585E-02  0.400790E-02
   0.403893E-02  0.365992E-02
   0.509835E-02  0.331102E-02
   0.630819E-02  0.298297E-02
   0.768782E-02  0.268395E-02
   0.926301E-02  0.241114E-02
   0.110672E-01  0.216374E-02
   0.131423E-01  0.194176E-02
   0.155399E-01  0.174270E-02
   0.183217E-01  0.156430E-02
   0.215547E-01  0.140489E-02
   0.253000E-01  0.126334E-02
   0.295993E-01  0.113879E-02
   0.344585E-01  0.103045E-02
   0.398401E-01  0.937422E-03
   0.456704E-01  0.858056E-03
   0.518608E-01  0.790598E-03
   0.583278E-01  0.733267E-03
   0.650030E-01  0.684199E-03
   0.718352E-01  0.641885E-03
   0.787879E-01  0.605153E-03
   0.858350E-01  0.573151E-03
   0.929576E-01  0.545452E-03
   0.100142      0.523005E-03
   0.107379      0.512291E-03
   0.114659      0.116920E-02
   0.121977      0.378848E-02
   0.129328      0.487931E-02
   0.136707      0.485819E-02
   0.144112      0.464281E-02
   0.151539      0.446100E-02
   0.158986      0.432231E-02
   0.166451      0.421311E-02
   0.173932      0.412267E-02
   0.181429      0.404448E-02
   0.188938      0.397479E-02
   0.196460      0.391140E-02
   0.203994      0.385294E-02
   0.211537      0.379854E-02
   0.219090      0.374755E-02
   0.226653      0.369953E-02
   0.234223      0.365411E-02
   0.241801      0.361100E-02
   0.249386      0.356997E-02
   0.256978      0.353080E-02
   0.264575      0.349333E-02
   0.272179      0.345741E-02
   0.279788      0.342290E-02
   0.287403      0.338970E-02
   0.295022      0.335769E-02
   0.302646      0.332678E-02
   0.310274      0.329691E-02
   0.317906      0.326799E-02
   0.325542      0.323996E-02
   0.333181      0.321276E-02
   0.340824      0.318635E-02
   0.348471      0.316066E-02
   0.356120      0.313567E-02
   0.363773      0.311132E-02
   0.371428      0.308759E-02
   0.379086      0.306444E-02
   0.386746      0.304184E-02
   0.394409      0.301976E-02
   0.402074      0.299818E-02
   0.409742      0.297707E-02
   0.417411      0.295641E-02
   0.425083      0.293617E-02
   0.432756      0.291634E-02
   0.440432      0.289691E-02
   0.448109      0.287784E-02
   0.455787      0.285914E-02
   0.463467      0.284077E-02
   0.471149      0.282273E-02
   0.478832      0.280500E-02
   0.486517      0.278758E-02
   0.494203      0.277043E-02
   0.501890      0.275357E-02
   0.509578      0.273696E-02
   0.517267      0.272061E-02
   0.524958      0.270449E-02
   0.532649      0.268861E-02
   0.540342      0.267295E-02
   0.548035      0.265749E-02
   0.555729      0.264224E-02
   0.563424      0.262717E-02
   0.571120      0.261229E-02
   0.578816      0.259758E-02
   0.586513      0.258302E-02
   0.594211      0.256863E-02
   0.601909      0.255437E-02
   0.609608      0.254025E-02
   0.617307      0.252625E-02
   0.625007      0.251237E-02
   0.632707      0.249860E-02
   0.640408      0.248492E-02
   0.648109      0.247133E-02
   0.655810      0.245782E-02
   0.663511      0.244438E-02
   0.671213      0.243099E-02
   0.678914      0.241765E-02
   0.686616      0.240434E-02
   0.694318      0.239106E-02
   0.702020      0.237779E-02
   0.709722      0.236452E-02
   0.717424      0.235123E-02
   0.725126      0.233792E-02
   0.732828      0.232457E-02
   0.740530      0.231116E-02
   0.748231      0.229768E-02
   0.755933      0.228412E-02
   0.763634      0.227044E-02
   0.771335      0.225664E-02
   0.779035      0.224269E-02
   0.786735      0.222857E-02
   0.794435      0.221426E-02
   0.802135      0.219972E-02
   0.809834      0.218493E-02
   0.817532      0.216986E-02
   0.825230      0.215447E-02
   0.832927      0.213872E-02
   0.840624      0.212257E-02
   0.848320      0.210596E-02
   0.856015      0.208884E-02
   0.863710      0.207115E-02
   0.871404      0.205281E-02
   0.879097      0.203373E-02
   0.886789      0.201382E-02
   0.894481      0.199296E-02
   0.902171      0.197100E-02
   0.909860      0.194779E-02
   0.917547      0.192312E-02
   0.925232      0.189674E-02
   0.932913      0.186833E-02
   0.940586      0.183753E-02
   0.948245      0.180383E-02
   0.955872      0.176667E-02
   0.963437      0.172534E-02
   0.970874      0.167915E-02
   0.978064      0.162771E-02
   0.984816      0.157137E-02
   0.990902      0.151275E-02
   0.996151      0.145291E-02
    1.00000      0.143460E-02
    1.00010       0.00000    
    1.00397       0.00000    
    1.00823       0.00000    
    1.01293       0.00000    
    1.01810       0.00000    
