#  NACA 4417                                       
#  alpha =   3.0000
#  Mach  =   0.0000
#  Reyn  = 20000000
#  Ncrit =   8.5000
#
#    x           cf
   0.170851E-02  0.976802E-04
   0.129008E-02  0.330563E-03
   0.934166E-03  0.559042E-03
   0.639178E-03  0.787093E-03
   0.403039E-03  0.100194E-02
   0.223492E-03  0.120974E-02
   0.983052E-04  0.140191E-02
   0.249266E-04  0.158046E-02
   0.279266E-07  0.174702E-02
   0.214136E-04  0.190520E-02
   0.894940E-04  0.205059E-02
   0.205926E-03  0.218047E-02
   0.371664E-03  0.229620E-02
   0.587159E-03  0.239622E-02
   0.853062E-03  0.247886E-02
   0.117003E-02  0.254749E-02
   0.153851E-02  0.259885E-02
   0.195874E-02  0.263716E-02
   0.243096E-02  0.266109E-02
   0.295545E-02  0.267284E-02
   0.353243E-02  0.267384E-02
   0.416216E-02  0.266440E-02
   0.484492E-02  0.264709E-02
   0.558107E-02  0.262199E-02
   0.637104E-02  0.259089E-02
   0.721537E-02  0.255494E-02
   0.811471E-02  0.251421E-02
   0.906980E-02  0.247118E-02
   0.100816E-01  0.242436E-02
   0.111511E-01  0.237712E-02
   0.122796E-01  0.232702E-02
   0.134684E-01  0.227764E-02
   0.147191E-01  0.222631E-02
   0.160334E-01  0.217633E-02
   0.174134E-01  0.212519E-02
   0.188611E-01  0.207569E-02
   0.203791E-01  0.202564E-02
   0.219698E-01  0.197737E-02
   0.236361E-01  0.192895E-02
   0.253812E-01  0.188236E-02
   0.272085E-01  0.183589E-02
   0.291215E-01  0.179122E-02
   0.311243E-01  0.174688E-02
   0.332211E-01  0.170416E-02
   0.354164E-01  0.166204E-02
   0.377151E-01  0.162120E-02
   0.401224E-01  0.158129E-02
   0.426437E-01  0.154225E-02
   0.452848E-01  0.150439E-02
   0.480519E-01  0.146716E-02
   0.509512E-01  0.143102E-02
   0.539893E-01  0.139563E-02
   0.571731E-01  0.136096E-02
   0.605093E-01  0.132719E-02
   0.640051E-01  0.129403E-02
   0.676674E-01  0.126153E-02
   0.715029E-01  0.122973E-02
   0.755182E-01  0.119847E-02
   0.797194E-01  0.116774E-02
   0.841122E-01  0.113756E-02
   0.887014E-01  0.110786E-02
   0.934910E-01  0.107858E-02
   0.984841E-01  0.104971E-02
   0.103683      0.102123E-02
   0.109087      0.993115E-03
   0.114697      0.965327E-03
   0.120509      0.937843E-03
   0.126522      0.910647E-03
   0.132730      0.883719E-03
   0.139128      0.857044E-03
   0.145709      0.830606E-03
   0.152466      0.804388E-03
   0.159391      0.778377E-03
   0.166475      0.752558E-03
   0.173710      0.726919E-03
   0.181086      0.701447E-03
   0.188597      0.676130E-03
   0.196233      0.650956E-03
   0.203986      0.625913E-03
   0.211850      0.600992E-03
   0.219816      0.576184E-03
   0.227878      0.551489E-03
   0.236031      0.526918E-03
   0.244267      0.502507E-03
   0.252583      0.478350E-03
   0.260974      0.454679E-03
   0.269434      0.432087E-03
   0.277962      0.412481E-03
   0.286553      0.403665E-03
   0.295204      0.115163E-02
   0.303913      0.469338E-02
   0.312677      0.664992E-02
   0.321497      0.700220E-02
   0.330370      0.680042E-02
   0.339297      0.653199E-02
   0.348277      0.629155E-02
   0.357313      0.608571E-02
   0.366406      0.590638E-02
   0.375560      0.574230E-02
   0.384782      0.559047E-02
   0.394077      0.543424E-02
   0.403461      0.526045E-02
   0.412938      0.512581E-02
   0.422492      0.501396E-02
   0.432115      0.491243E-02
   0.441798      0.481692E-02
   0.451532      0.472593E-02
   0.461312      0.463827E-02
   0.471133      0.455341E-02
