#      x          Cp  
     1.00000    0.31125
     0.99221    0.16196
     0.98052    0.11944
     0.96698    0.08618
     0.95276    0.06177
     0.93836    0.04213
     0.92391    0.02562
     0.90944    0.01123
     0.89497   -0.00163
     0.88049   -0.01334
     0.86601   -0.02416
     0.85153   -0.03426
     0.83704   -0.04380
     0.82256   -0.05287
     0.80807   -0.06156
     0.79358   -0.06994
     0.77908   -0.07806
     0.76459   -0.08597
     0.75010   -0.09370
     0.73560   -0.10130
     0.72110   -0.10878
     0.70661   -0.11618
     0.69211   -0.12352
     0.67762   -0.13081
     0.66312   -0.13808
     0.64863   -0.14534
     0.63413   -0.15260
     0.61964   -0.15989
     0.60515   -0.16721
     0.59066   -0.17456
     0.57617   -0.18197
     0.56169   -0.18945
     0.54721   -0.19699
     0.53273   -0.20462
     0.51825   -0.21234
     0.50378   -0.22015
     0.48931   -0.22807
     0.47485   -0.23610
     0.46039   -0.24425
     0.44594   -0.25252
     0.43149   -0.26094
     0.41705   -0.26950
     0.40262   -0.27821
     0.38819   -0.28708
     0.37378   -0.29612
     0.35937   -0.30534
     0.34497   -0.31476
     0.33059   -0.32438
     0.31621   -0.33423
     0.30185   -0.34431
     0.28751   -0.35465
     0.27318   -0.36528
     0.25888   -0.37622
     0.24459   -0.38751
     0.23033   -0.39918
     0.21609   -0.41129
     0.20189   -0.42391
     0.18773   -0.43711
     0.17361   -0.45100
     0.15955   -0.46569
     0.14554   -0.48137
     0.13162   -0.49823
     0.11779   -0.51659
     0.10409   -0.53681
     0.09056   -0.55942
     0.07727   -0.58512
     0.06433   -0.61481
     0.05198   -0.64942
     0.04062   -0.68942
     0.03079   -0.73349
     0.02290   -0.77791
     0.01687   -0.81776
     0.01231   -0.84803
     0.00882   -0.86276
     0.00612   -0.85162
     0.00401   -0.79778
     0.00238   -0.67273
     0.00119   -0.43923
     0.00041   -0.07777
     0.00004    0.35251
     0.00004    0.71526
     0.00041    0.94270
     0.00119    0.99889
     0.00238    0.93513
     0.00401    0.81946
     0.00612    0.69192
     0.00882    0.56912
     0.01231    0.45635
     0.01687    0.35448
     0.02290    0.26370
     0.03079    0.18523
     0.04062    0.12083
     0.05198    0.07067
     0.06433    0.03257
     0.07727    0.00360
     0.09056   -0.01873
     0.10409   -0.03618
     0.11779   -0.04999
     0.13162   -0.06099
     0.14554   -0.06979
     0.15955   -0.07683
     0.17361   -0.08243
     0.18773   -0.08684
     0.20189   -0.09025
     0.21609   -0.09282
     0.23033   -0.09467
     0.24459   -0.09591
     0.25888   -0.09661
     0.27318   -0.09685
     0.28751   -0.09668
     0.30185   -0.09616
     0.31621   -0.09533
     0.33059   -0.09423
     0.34497   -0.09288
     0.35937   -0.09133
     0.37378   -0.08958
     0.38819   -0.08768
     0.40262   -0.08562
     0.41705   -0.08343
     0.43149   -0.08113
     0.44594   -0.07873
     0.46039   -0.07623
     0.47485   -0.07366
     0.48931   -0.07100
     0.50378   -0.06828
     0.51825   -0.06550
     0.53273   -0.06266
     0.54721   -0.05977
     0.56169   -0.05682
     0.57617   -0.05383
     0.59066   -0.05078
     0.60515   -0.04768
     0.61964   -0.04453
     0.63413   -0.04132
     0.64863   -0.03805
     0.66312   -0.03471
     0.67762   -0.03130
     0.69211   -0.02780
     0.70661   -0.02421
     0.72110   -0.02051
     0.73560   -0.01668
     0.75010   -0.01272
     0.76459   -0.00859
     0.77908   -0.00427
     0.79358    0.00026
     0.80807    0.00505
     0.82256    0.01014
     0.83704    0.01559
     0.85153    0.02147
     0.86601    0.02786
     0.88049    0.03489
     0.89497    0.04272
     0.90944    0.05157
     0.92391    0.06179
     0.93836    0.07390
     0.95276    0.08880
     0.96698    0.10806
     0.98052    0.13545
     0.99221    0.17223
     1.00000    0.31125
